channel,vertical_angle
0,10.66847415
1,9.3277529
2,7.99849082
3,6.66922874
4,5.32850749
5,3.99924541
6,2.66998333
7,1.32926208
8,0.
9,-1.32926208
10,-2.66998333
11,-3.99924541
12,-5.32850749
13,-6.66922874
14,-7.99849082
15,-9.3277529
16,-10.66847415
17,-11.99773623
18,-13.33272789
19,-14.66771956
20,-16.00271122
21,-17.3319733
22,-18.67269454
23,-20.00195663
24,-21.33121871
25,-22.67193995
26,-24.00120204
27,-25.33046412
28,-26.67118536
29,-28.00044745
30,-29.32970953
31,-30.67043077











































